ранг	кандзи	freq	pmw	кум%	написания
66	長	154607	791.5461	28.200	長(30728)/長い(11949)/成長(11142)/社長(7156)/長く(5933)/長期(5924)/会長(4388)/長官(4237)/延長(3555)/信長(3041)/長崎(2604)/長男(2066)/長野(1968)/長年(1899)/議長(1833)/部長(1790)/校長(1750)/市長(1639)/課長(1612)/身長(1481)
67	通	153780	787.3120	28.459	普通(16840)/通り(15532)/交通(13738)/通信(11812)/通じ(9125)/通常(7918)/通し(6599)/共通(6379)/通っ(4804)/通知(4007)/流通(3712)/通(2732)/通過(2501)/見通し(2377)/通貨(1821)/通る(1766)/通勤(1669)/通行(1589)/通商(1575)/通用(1466)
68	立	153178	784.2300	28.718	立っ(10840)/立場(9742)/成立(7291)/立て(6595)/独立(6449)/立つ(5013)/設立(4862)/確立(4559)/国立(3644)/立(3635)/立ち(3319)/立派(3315)/対立(3311)/自立(2914)/立た(1799)/立ち上がっ(1666)/立てる(1604)/私立(1567)/立法(1518)/目立つ(1477)
69	化	152577	781.1530	28.975	化(68114)/文化(20559)/変化(19426)/強化(7512)/化学(5416)/化粧(3377)/酸化(2879)/悪化(2865)/進化(2108)/消化(1887)/浄化(1620)/分化(995)/硬化(930)/化し(819)/化合(816)/化石(809)/化け(654)/緑化(636)/老化(587)/激化(557)
70	成	152150	778.9669	29.232	平成(24690)/作成(12535)/構成(11680)/成長(11142)/成功(8518)/形成(8191)/成立(7291)/完成(6249)/達成(5081)/成果(4987)/育成(4079)/成分(3393)/成績(3289)/助成(3122)/編成(2932)/成人(2509)/賛成(2232)/合成(2135)/養成(1893)/結成(1655)
71	何	152034	778.3730	29.489	何(134611)/何故(3504)/何処(1837)/何事(1562)/何十(1243)/如何(1155)/何者(1042)/何百(899)/何に(827)/何しろ(723)/何千(628)/幾何(512)/何もの(388)/何物(253)/何れ(237)/如何に(218)/何ごと(205)/何々(197)/如何なる(183)/何時(177)
72	作	150669	771.3845	29.743	作品(16092)/作業(13464)/作っ(12838)/作成(12535)/作り(10484)/作る(8166)/作用(6784)/操作(4862)/作家(4741)/作ら(4336)/作(4220)/作戦(3466)/製作(3242)/著作(3107)/動作(3088)/制作(2474)/作者(2082)/工作(1996)/作曲(1949)/手作り(1305)
73	第	149561	765.7119	29.995	第(142565)/次第(6602)/落第(126)/第一(121)/及第(120)/第六天(8)/第六天町(8)/第宅(3)/譜第(3)/登第(2)/硝第(2)/而第(1)
74	女	148512	760.3413	30.246	彼女(39106)/女性(32996)/女(29613)/女子(6579)/女の子(6120)/男女(5602)/少女(4840)/女房(1958)/女優(1777)/女王(1701)/長女(1047)/魔女(913)/女神(880)/美女(766)/処女(702)/女中(699)/貴女(557)/乙女(552)/女将(529)/巫女(486)
75	社	147862	757.0135	30.495	社会(49001)/会社(41187)/社(17456)/社長(7156)/社員(6059)/神社(4574)/本社(1737)/社内(1652)/社債(1497)/同社(1473)/自社(1383)/公社(1377)/入社(1286)/各社(936)/他社(916)/商社(851)/社交(732)/当社(561)/社団(549)/（社）(488)
